Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2020,16(13),SRH,T20,Dubai,11 Oct 20,123,1,1
INDIAN PREMIER LEAGUE 2020,13(8),DC,T20,Sharjah,09 Oct 20,162.5,2,0
INDIAN PREMIER LEAGUE 2020,70(44),MI,T20,Abu Dhabi,06 Oct 20,159,4,5
INDIAN PREMIER LEAGUE 2020,22(12),RCB,T20,Abu Dhabi,03 Oct 20,183.3,3,1
INDIAN PREMIER LEAGUE 2020,21(16),KKR,T20,Dubai,30 Sep 20,131.2,1,2
INDIAN PREMIER LEAGUE 2020,4(7),PBKS,T20,Sharjah,27 Sep 20,57.1,0,0
"AUSTRALIA TOUR OF ENGLAND, 2020",8(20),AUS,ODI,Manchester,16 Sep 20,40,0,0
"AUSTRALIA TOUR OF ENGLAND, 2020",3(7),AUS,ODI,Manchester,13 Sep 20,42.8,0,0
"AUSTRALIA TOUR OF ENGLAND, 2020",1(4),AUS,ODI,Manchester,11 Sep 20,25,0,0
"AUSTRALIA TOUR OF ENGLAND, 2020",77*(54),AUS,T20I,Southampton,06 Sep 20,142.5,8,2
"AUSTRALIA TOUR OF ENGLAND, 2020",44(29),AUS,T20I,Southampton,04 Sep 20,151.7,5,2
"PAKISTAN TOUR OF ENGLAND, 2020",152 & DNB,PAK,Test,Southampton,21 Aug 20,48.8 & DNB,13 & DNB,2 & DNB
"PAKISTAN TOUR OF ENGLAND, 2020",0* & DNB,PAK,Test,Southampton,13 Aug 20,0 & DNB,0 & DNB,0 & DNB
"PAKISTAN TOUR OF ENGLAND, 2020",38 & 75,PAK,Test,Manchester,05 Aug 20,35.1 & 74.2,5 & 7,0 & 1
"WEST INDIES TOUR OF ENGLAND, 2020",67 & DNB,WI,Test,Manchester,24 Jul 20,47.1 & DNB,7 & DNB,2 & DNB
"WEST INDIES TOUR OF ENGLAND, 2020",40 & 0,WI,Test,Manchester,16 Jul 20,50.6 & 0,4 & 0,0 & 0
"WEST INDIES TOUR OF ENGLAND, 2020",35 & 9,WI,Test,Southampton,08 Jul 20,74.4 & 69.2,6 & 2,0 & 0
"ENGLAND TOUR OF SOUTH AFRICA, 2019-20",57(29),RSA,T20I,Centurion,16 Feb 20,196.5,9,2
"ENGLAND TOUR OF SOUTH AFRICA, 2019-20",2(4),RSA,T20I,Durban,14 Feb 20,50,0,0
"ENGLAND TOUR OF SOUTH AFRICA, 2019-20",15(10),RSA,T20I,East London,12 Feb 20,150,3,0
"ENGLAND TOUR OF SOUTH AFRICA, 2019-20",20 & 8,RSA,Test,Johannesburg,24 Jan 20,46.5 & 80,3 & 1,0 & 0
"ENGLAND TOUR OF SOUTH AFRICA, 2019-20",1 & DNB,RSA,Test,Gqeberha,16 Jan 20,6.6 & DNB,0 & DNB,0 & DNB
"ENGLAND TOUR OF SOUTH AFRICA, 2019-20",29 & 23,RSA,Test,Cape Town,03 Jan 20,107.4 & 127.7,4 & 0,1 & 2
"ENGLAND TOUR OF SOUTH AFRICA, 2019-20",12 & 22,RSA,Test,Centurion,26 Dec 19,30.7 & 66.6,2 & 2,0 & 2
"ENGLAND TOUR OF NEW ZEALAND, 2019",43 & 0,NZ,Test,Mount Maunganui,21 Nov 19,61.4 & 0,5 & 0,1 & 0
THE ASHES 2019,70 & 47,AUS,Test,London,12 Sep 19,71.4 & 74.6,7 & 6,3 & 0
THE ASHES 2019,41 & 34,AUS,Test,Manchester,04 Sep 19,63 & 30.6,7 & 4,0 & 0
THE ASHES 2019,5 & 1,AUS,Test,Leeds,22 Aug 19,31.2 & 11.1,1 & 0,0 & 0
THE ASHES 2019,12 & 31,AUS,Test,London,14 Aug 19,52.1 & 28.7,1 & 3,0 & 0
THE ASHES 2019,5 & 1,AUS,Test,Birmingham,01 Aug 19,50 & 4,1 & 0,0 & 0
ICC CRICKET WORLD CUP 2019,59(60),NZ,ODI,London,14 Jul 19,98.3,6,0
ICC CRICKET WORLD CUP 2019,DNB,AUS,ODI,Birmingham,11 Jul 19,DNB,DNB,DNB
ICC CRICKET WORLD CUP 2019,11(12),NZ,ODI,Chester-le-Street,03 Jul 19,91.6,1,0
ICC CRICKET WORLD CUP 2019,20(8),IND,ODI,Birmingham,30 Jun 19,250,1,2
ICC CRICKET WORLD CUP 2019,25(27),AUS,ODI,London,25 Jun 19,92.5,2,0
ICC CRICKET WORLD CUP 2019,10(9),SL,ODI,Leeds,21 Jun 19,111.1,1,0
ICC CRICKET WORLD CUP 2019,2(2),AFG,ODI,Manchester,18 Jun 19,100,0,0
ICC CRICKET WORLD CUP 2019,DNB,WI,ODI,Southampton,14 Jun 19,DNB,DNB,DNB
ICC CRICKET WORLD CUP 2019,64(44),BAN,ODI,Cardiff,08 Jun 19,145.4,2,4
ICC CRICKET WORLD CUP 2019,103(76),PAK,ODI,Nottingham,03 Jun 19,135.5,9,2
ICC CRICKET WORLD CUP 2019,18(16),RSA,ODI,London,30 May 19,112.5,0,0
"PAKISTAN TOUR OF ENGLAND, 2019",34(34),PAK,ODI,Leeds,19 May 19,100,4,1
"PAKISTAN TOUR OF ENGLAND, 2019",0(2),PAK,ODI,Nottingham,17 May 19,0,0,0
"PAKISTAN TOUR OF ENGLAND, 2019",110*(55),PAK,ODI,Southampton,11 May 19,200,6,9
INDIAN PREMIER LEAGUE 2019,23(17),PBKS,T20,Mohali,16 Apr 19,135.2,1,2
INDIAN PREMIER LEAGUE 2019,89(43),MI,T20,Mumbai,13 Apr 19,206.9,8,7
INDIAN PREMIER LEAGUE 2019,23(10),CSK,T20,Jaipur,11 Apr 19,230,4,1
INDIAN PREMIER LEAGUE 2019,37(34),KKR,T20,Jaipur,07 Apr 19,108.8,5,1
INDIAN PREMIER LEAGUE 2019,59(43),RCB,T20,Jaipur,02 Apr 19,137.2,8,1
INDIAN PREMIER LEAGUE 2019,6(7),CSK,T20,Chennai,31 Mar 19,85.7,1,0
INDIAN PREMIER LEAGUE 2019,5(8),SRH,T20,Hyderabad,29 Mar 19,62.5,1,0
INDIAN PREMIER LEAGUE 2019,69(43),PBKS,T20,Jaipur,25 Mar 19,160.4,10,2
"ENGLAND TOUR OF WEST INDIES, 2019",23(36),WI,ODI,"Gros Islet, St Lucia",02 Mar 19,63.8,1,0
"ENGLAND TOUR OF WEST INDIES, 2019",150(77),WI,ODI,"St Georges, Grenada",27 Feb 19,194.8,13,12
"ENGLAND TOUR OF WEST INDIES, 2019",34(33),WI,ODI,"Bridgetown, Barbados",22 Feb 19,103,2,2
"ENGLAND TOUR OF WEST INDIES, 2019",4*(1),WI,ODI,"Bridgetown, Barbados",20 Feb 19,400,1,0
"ENGLAND TOUR OF WEST INDIES, 2019",67 & 56,WI,Test,"Gros Islet, St Lucia",09 Feb 19,52.7 & 48.7,9 & 5,0 & 0
"ENGLAND TOUR OF WEST INDIES, 2019",1 & 24,WI,Test,"North Sound, Antigua",31 Jan 19,8.3 & 50,0 & 5,0 & 0
"ENGLAND TOUR OF WEST INDIES, 2019",4 & 26,WI,Test,"Bridgetown, Barbados",23 Jan 19,28.5 & 81.2,1 & 4,0 & 0
"ENGLAND TOUR OF SRI LANKA, 2018",16 & 64,SL,Test,Colombo,23 Nov 18,61.5 & 81,2 & 3,0 & 0
"ENGLAND TOUR OF SRI LANKA, 2018",63 & 34,SL,Test,Pallekele,14 Nov 18,94 & 75.5,7 & 3,0 & 0
"ENGLAND TOUR OF SRI LANKA, 2018",38 & 35,SL,Test,Galle,06 Nov 18,52.7 & 60.3,4 & 2,0 & 1
"ENGLAND TOUR OF SRI LANKA, 2018",13(7),SL,T20I,Colombo,27 Oct 18,185.7,3,0
"ENGLAND TOUR OF SRI LANKA, 2018",0(2),SL,ODI,Colombo,23 Oct 18,0,0,0
"ENGLAND TOUR OF SRI LANKA, 2018",DNB,SL,ODI,Pallekele,20 Oct 18,DNB,DNB,DNB
"ENGLAND TOUR OF SRI LANKA, 2018",DNB,SL,ODI,Pallekele,17 Oct 18,DNB,DNB,DNB
"ENGLAND TOUR OF SRI LANKA, 2018",28(25),SL,ODI,Dambulla,13 Oct 18,112,2,0
"ENGLAND TOUR OF SRI LANKA, 2018",DNB,SL,ODI,Dambulla,10 Oct 18,DNB,DNB,DNB
"INDIA TOUR OF ENGLAND, 2018",89 & 0,IND,Test,London,07 Sep 18,66.9 & 0,6 & 0,2 & 0
"INDIA TOUR OF ENGLAND, 2018",21 & 69,IND,Test,Southampton,30 Aug 18,87.5 & 56.5,3 & 7,0 & 0
"INDIA TOUR OF ENGLAND, 2018",39 & 106,IND,Test,Nottingham,18 Aug 18,121.8 & 60.2,3 & 21,2 & 0
"INDIA TOUR OF ENGLAND, 2018",24 & DNB,IND,Test,London,09 Aug 18,109 & DNB,4 & DNB,0 & DNB
"INDIA TOUR OF ENGLAND, 2018",0 & 1,IND,Test,Birmingham,01 Aug 18,0 & 50,0 & 0,0 & 0
"INDIA TOUR OF ENGLAND, 2018",DNB,IND,ODI,Leeds,17 Jul 18,DNB,DNB,DNB
"INDIA TOUR OF ENGLAND, 2018",4(7),IND,ODI,London,14 Jul 18,57.1,0,0
"INDIA TOUR OF ENGLAND, 2018",53(51),IND,ODI,Nottingham,12 Jul 18,103.9,5,0
"INDIA TOUR OF ENGLAND, 2018",34(21),IND,T20I,Bristol,08 Jul 18,161.9,7,0
"INDIA TOUR OF ENGLAND, 2018",14(12),IND,T20I,Cardiff,06 Jul 18,116.6,3,0
"INDIA TOUR OF ENGLAND, 2018",69(46),IND,T20I,Manchester,03 Jul 18,150,8,2
"AUSTRALIA TOUR OF ENGLAND, 2018",61(30),AUS,T20I,Birmingham,27 Jun 18,203.3,6,5
"AUSTRALIA TOUR OF ENGLAND, 2018",110*(122),AUS,ODI,Manchester,24 Jun 18,90.1,12,1
"AUSTRALIA TOUR OF ENGLAND, 2018",54*(29),AUS,ODI,Chester-le-Street,21 Jun 18,186.2,9,1
